mass,bin,nevt_ASYM,nevtup_ASYM,nevtdown_ASYM,nevtupup_ASYM,nevtdowndown_ASYM,nevtobs_ASYM,nevtobs_TOY,nevtobserr_TOY
0.21600000000000003,Lxy0.2_11.0_pt25_Inf_2isomu,1.9306,3.7233,1.0047,5.8312,0.5516,1.9109,2.2870517999999995,1.92382714
0.21600000000000003,Lxy0.2_11.0_pt25_Inf_012isomu,1.92075,3.7233,1.0047,5.8509,0.56145,1.92075,2.88574071,2.88574071
0.21600000000000003,Lxy1.0_11.0_pt0_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,2.98338,0.041951199999999994
0.21600000000000003,Lxy1.0_11.0_pt0_Inf_012isomu,2.9415,5.04,1.7802000000000002,8.2047,1.1721,2.2662,2.780448,0.0579864
0.21600000000000003,Lxy1.0_11.0_pt25_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,2.88856,0.0396918
0.21600000000000003,Lxy1.0_11.0_pt25_Inf_012isomu,1.924875,3.7125,0.9999,5.848875,0.56385,1.922175,2.9689425000000003,0.04568535
0.21600000000000003,Lxy2.4_11.0_pt0_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,2.9717599999999997,0.045744599999999996
0.21600000000000003,Lxy2.4_11.0_pt0_Inf_012isomu,2.9415,5.04,1.7802000000000002,8.2047,1.1721,2.2662,3.0356400000000003,0.0593844
0.21600000000000003,Lxy2.4_11.0_pt25_Inf_2isomu,1.9218,3.7144,0.9982,5.84,0.563,1.9216,2.92372,0.027791399999999997
0.21600000000000003,Lxy2.4_11.0_pt25_Inf_012isomu,1.918875,3.70875,1.0018125,5.8310625,0.569625,1.9216875,2.89745625,0.038502
0.21600000000000003,Lxy3.1_11.0_pt25_Inf_2isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.8565952,0.022231488
0.21600000000000003,Lxy3.1_11.0_pt25_Inf_012isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.8784256,0.032504832000000004
0.21600000000000003,Lxy7.0_11.0_pt0_Inf_2isomu,1.92,3.710784,1.002432,5.834304,0.570048,1.921536,2.7752064,0.07096319999999999
