mass,eps,ctau,BRbrULobs
40.0,3.515836291913221e-07,2.0,2.1613982703686147e-05
40.0,2.223610112545282e-07,5.0,1.4883695738645584e-05
40.0,1.7579181459566105e-07,8.0,1.206705843893064e-05
40.0,1.572329789295751e-07,10.0,1.1750282854468644e-05
40.0,1.111805056272641e-07,20.0,1.2156635093032096e-05
40.0,7.031672583826441e-08,50.0,1.462894626205818e-05
40.0,5.5590252813632054e-08,80.0,1.703183006807239e-05
40.0,4.972143367107208e-08,100.0,2.165984383026448e-05
40.0,3.5158362919132206e-08,200.0,3.395689673569154e-05
40.0,2.2236101125452823e-08,500.0,6.646116938538144e-05
40.0,1.7579181459566103e-08,800.0,0.0001133028919561
40.0,1.5723297892957512e-08,1000.0,0.0001415327479478
40.0,1.1118050562726411e-08,2000.0,0.0002904882465728
40.0,7.0316725838264414e-09,5000.0,0.0006908986422456
40.0,5.559025281363206e-09,8000.0,0.0011162673438431
40.0,4.972143367107209e-09,10000.0,0.0014291095817582
