mass,ctau = 1,ctau = 10,ctau = 100,ctau = 1000,what
0.62,48.94200000000002,39.33255005344631,51.45697792321248,85.03628733395655,nevtULup
0.62,16.569000000000006,13.67384357742417,16.343499224969975,22.17870206250221,nevtULdown
0.62,83.64600000000003,67.83822396145082,83.82604447411649,128.15357270984504,nevtULupup
0.62,10.998000000000005,9.26689399093095,11.016640237349002,13.70107099926875,nevtULdowndown
0.62,29.24100000000001,22.727740004950753,28.268944796355658,50.2681387894654,nevtULobs
0.62,0.000685715155035801,0.002578559315388404,0.029707939363799743,0.4500349880985168,BRbrUL
0.62,0.001216216246929121,0.004531227876163699,0.05528467379600265,0.9056393222770308,BRbrULup
0.62,0.00041174220496441934,0.0015752678407104069,0.017559232193659274,0.2362039234613671,BRbrULdown
0.62,0.0020786159983374867,0.007815167108816242,0.09006155649630929,1.3648398627814862,BRbrULupup
0.62,0.0002733019959079415,0.00106757401490883,0.011836127701837128,0.14591686729592673,BRbrULdowndown
0.62,0.0007266433590056481,0.002618303896713918,0.03037176792535119,0.535357370044074,BRbrULobs
0.62,0.23581799999999997,0.355535,0.401829,0.5156970000000001,Significance
0.62,0.235817,0.355537,0.401767,0.5156970000000001,posSignificance
0.625,30.221506063833655,108.33126261975626,1276.8990795496752,20694.469335090682,xsecBRbrUL
0.625,26.10000000000001,20.156778708014997,25.543825750874483,41.56676974909479,nevtUL
0.625,46.70100000000002,36.06260408528773,47.73719901657671,83.6536472168968,nevtULup
0.625,15.471000000000007,12.104867106242075,14.895565838285892,21.817622062321504,nevtULdown
0.625,79.11900000000004,61.09432927351175,77.43834539811255,126.06633929009584,nevtULupup
0.625,10.098000000000004,8.03091183231971,9.877385885113863,13.477963814085172,nevtULdowndown
0.625,25.55100000000001,19.073790597642407,24.065067402450204,39.534164871388434,nevtULobs
0.625,0.0006217048111595527,0.0022285476781810643,0.02626786035892664,0.4257183981117467,BRbrUL
0.625,0.0011124228500368682,0.00398710695630519,0.049090300330239235,0.8567636336513262,BRbrULup
0.625,0.0003685208863390589,0.0013383226494211337,0.015317777658810438,0.22345164589512725,BRbrULdown
0.625,0.0018846231016909055,0.006754632157487331,0.07963331973771831,1.291145796085353,BRbrULupup
0.625,0.0002405354476279372,0.0008879032794300801,0.010157358403234548,0.13803856300056566,BRbrULdowndown
0.625,0.0006086275720282653,0.0021088117484559022,0.024747186902262616,0.4049008725317102,BRbrULobs
0.625,-0.0270772,-0.0168149,-0.0117685,-0.40137399999999995,Significance
0.625,0.0021885999999999997,0.0006588680000000001,0.0,0.0,posSignificance
0.63,26.65662705016035,90.05268996563126,1034.6634570420315,16297.74353783875,xsecBRbrUL
0.63,22.851000000000006,16.640824437430652,20.621771942312414,32.46164279926316,nevtUL
0.63,41.79600000000001,30.83367470126416,39.85776081010144,65.3298408449302,nevtULup
0.63,13.311,9.653898150288775,11.641177732089384,16.414668073556864,nevtULdown
0.63,69.27300000000001,50.447467773541355,62.5282120595556,98.45512529641144,nevtULupup
0.63,8.478,6.239934167992746,7.411839777375125,9.891847870223943,nevtULdowndown
0.63,26.955,19.01679937062789,23.849266721938328,36.431535205324614,nevtULobs
0.63,0.0005483695369570969,0.0018525281463881676,0.021284685409632687,0.33527070249633834,BRbrUL
0.63,0.0010030043834693806,0.003432537279354171,0.041139039959738055,0.6747403934390807,BRbrULup
0.63,0.0003194322745803648,0.0010747134622457405,0.01201539841087774,0.1695341585235651,BRbrULdown
0.63,0.0016623868948242517,0.005616029080523422,0.06453826211624772,1.0168653270758723,BRbrULupup
0.63,0.0002034517935461147,0.0006946563087231633,0.007650102930502162,0.10216509389081717,BRbrULdowndown
0.63,0.000646855755488974,0.00211703189470968,0.02461593217338029,0.3762725896788723,BRbrULobs
0.63,-0.00332407,-0.00388288,-0.00218092,-0.773096,Significance
0.63,0.00996262,0.00899121,0.0,4.43669e-05,posSignificance
0.635,25.800556704687704,86.26550097302523,980.8518783412767,15477.65624534084,xsecBRbrUL
0.635,23.03100000000001,16.58083182123854,20.387939850204006,31.99795354029365,nevtUL
0.635,42.120000000000026,30.725688350484013,39.405085451247615,64.39651679509718,nevtULup
0.635,13.347000000000005,9.575902871972756,11.509272503344528,16.179849066623305,nevtULdown
0.635,69.80400000000002,50.27049010828555,61.81772140250911,97.04620852765319,nevtULupup
0.635,8.451000000000002,6.1529375909824955,7.327900110938412,9.749166261319033,nevtULdowndown
0.635,20.673000000000005,14.993847917957346,18.213266260179306,27.938043149962088,nevtULobs
0.635,0.0005307587980565534,0.001774619599656562,0.020177695000098268,0.3184001926600695,BRbrUL
0.635,0.000970672596680215,0.0032885207055694783,0.03899873167813609,0.6407867093242918,BRbrULup
0.635,0.00030758706428990566,0.001024893389199158,0.011390586393317208,0.1609998918692232,BRbrULdown
0.635,0.0016086616794555016,0.005380369211406732,0.06118024367471316,0.9656721156627596,BRbrULupup
