mass,ctau = 0.1,ctau = 0.2,ctau = 0.5,ctau = 0.8,ctau = 1,ctau = 2,ctau = 5,ctau = 8,ctau = 10,ctau = 20,ctau = 50,ctau = 80,ctau = 100,ctau = 200,ctau = 500,ctau = 800,ctau = 1000,what
0.615,0.00558372314018441,0.0021403233772414416,0.0008583254941225602,0.0007246736662462822,0.000704812277665863,0.0008070370939921312,0.0006002792765336223,0.0021558039475879512,0.0026692016406434176,0.006327224003255128,0.015520726459731163,0.02472529625755776,0.031050818025789437,0.1139737267094118,0.2833181868318952,0.4525016353923653,0.5656153259019421,BRbrULobs
0.615,-0.00426962,0.010032899999999999,0.152705,-0.0103592,-0.00499071,0.0686166,0.267484,0.172688,0.194868,0.216498,0.229844,0.23328200000000002,0.239409,0.419142,0.419246,0.41930100000000003,0.419267,Significance
0.615,0.0,0.00119897,0.000653788,0.0,0.00137367,0.06850629999999999,0.267484,0.172688,0.194854,0.216536,0.229844,0.23328000000000002,0.239409,0.419142,0.419246,0.41930100000000003,0.419267,posSignificance
0.62,240.11577664014428,100.84328099377731,41.36616587563179,34.581521324350554,33.333093686898806,38.34712176695411,28.363578667447978,101.3674669542997,125.34557331255108,295.6236183898037,723.4025702575427,1153.5496027547392,1444.1237280318603,4413.424354281994,10961.628580156472,17487.590432212357,21876.515795960568,xsecBRbrUL
0.62,81.91741093750359,60.82188380603874,37.26896523795913,29.880000000000013,27.59400000000001,23.46292166807889,20.273965242817628,22.088792935701147,22.382743951549305,27.185033737537807,27.42063535600263,27.53622909129922,27.65107714351224,42.38757812392182,42.3418464598216,42.29617847390453,42.256672846381534,nevtUL
0.62,164.8428146266003,116.09077822049328,66.08693835844817,52.51500000000003,48.94200000000002,41.237862325714424,36.4349375368482,38.81963609778253,39.33255005344631,50.161217074086274,50.80961838529401,51.023012727995614,51.45697792321248,85.29971788928951,85.20768861517173,85.11578748546081,85.03628733395655,nevtULup
0.62,40.99470520988013,32.4089380860529,21.995979483596262,17.865000000000013,16.569000000000006,14.318952195593985,12.185979108660138,13.493873506014364,13.67384357742417,16.127426768153086,16.264597407312795,16.33276333356473,16.343499224969975,22.13350377392255,22.109624090186177,22.19943685972134,22.17870206250221,nevtULdown
0.62,248.42521359128892,184.409647704311,112.9498946477631,90.56700000000004,83.64600000000003,71.1267625404018,61.4518946483984,66.9503723952251,67.83822396145082,82.41607061039245,83.12283182527435,83.47556856010524,83.82604447411649,128.55057460027658,128.4118822767774,128.27338307275792,128.15357270984504,nevtULupup
0.62,22.40083891710025,18.53096459849567,14.264986694558132,11.673000000000007,10.998000000000005,9.530968180473932,8.234985882144779,9.146914255188484,9.26689399093095,10.724618805086921,10.817067180149381,10.864512175238099,11.016640237349002,13.743515005882294,13.728687222847187,13.71388008647566,13.70107099926875,nevtULdowndown
0.62,99.72828286074241,67.03187194249429,39.91496276994656,31.689000000000014,29.24100000000001,24.083919594851984,21.46196320614344,22.466789392294697,22.727740004950753,27.797011985436484,28.026583101535124,28.094152687266718,28.268944796355658,50.42386247087284,50.37245477643582,50.37196391196,50.2681387894654,nevtULobs
