mass,stheta_sq,ctau,BRbrULobs,BRULobs,theta_sq_inflaton,BRULobs_inflaton,BRtheory,excl
2.44,4.499468734340889e-08,8.0,3.3381904189356113e-10,1.0521385700053104e-08,1.565533810380852e-07,2.975986654875761e-09,4.6467564203583995e-07,True
2.44,3.59957498747271e-08,10.0,2.951571493301624e-10,9.302831236394812e-09,1.252427048304682e-07,2.631317052841491e-09,3.717405136286721e-07,True
2.44,1.799787493736355e-08,20.0,2.2074830727937e-10,6.957596158521871e-09,6.262135241523407e-08,1.967964478069788e-09,1.8587025681433598e-07,True
2.44,7.199149974945421e-09,50.0,3.3804232359618565e-10,1.065449606865652e-08,2.5048540966093636e-08,3.013637083429802e-09,7.434810272573441e-08,True
2.44,4.499468734340888e-09,80.0,4.77130015844194e-10,1.5038294092791364e-08,1.5655338103808522e-08,4.2535996500934484e-09,4.646756420358401e-08,True
2.44,3.59957498747271e-09,100.0,5.716676355545269e-10,1.8017952636220132e-08,1.2524270483046816e-08,5.0963996684680055e-09,3.71740513628672e-08,True
2.46,3.5134979140546656e-06,0.1,1.8183276812934602e-07,5.826299758515444e-06,1.2318408013848566e-05,1.6342439837038526e-06,3.623673160070696e-05,True
2.46,1.7567489570273328e-06,0.2,7.56737499390699e-08,2.4247442060736274e-06,6.159204006924283e-06,6.801269751019961e-07,1.811836580035348e-05,True
2.46,7.026995828109332e-07,0.5,3.5320935839902086e-08,1.1317561849367706e-06,2.463681602769713e-06,3.17451180493984e-07,7.247346320141392e-06,True
2.46,3.513497914054666e-07,1.0,1.7832925691344616e-08,5.714039978492556e-07,1.2318408013848567e-06,1.6027557531427338e-07,3.6236731600706965e-06,True
2.46,4.391872392568332e-07,0.8,2.2616794483923664e-08,7.246890953468973e-07,1.5398010017310707e-06,2.032711743668029e-07,4.52959145008837e-06,True
2.46,1.756748957027333e-07,2.0,3.756752766020175e-09,1.2037416555136893e-07,6.159204006924284e-07,3.376426960493723e-08,1.8118365800353483e-06,True
2.46,7.026995828109332e-08,5.0,5.677136841296356e-10,1.819072620836697e-08,2.4636816027697135e-07,5.102395361958256e-09,7.247346320141394e-07,True
