mass,ctau = 1,ctau = 10,ctau = 100,ctau = 1000,what
0.88,2.016,2.124,,,nevtULobs
0.88,5.585454546945643e-05,0.001168194902860111,,,BRbrUL
0.88,0.00011122127831472548,0.002351239740926071,,,BRbrULup
0.88,2.829313220286876e-05,0.0005774974802274562,,,BRbrULdown
0.88,0.0001692709805930252,0.0035425345429952798,,,BRbrULupup
0.88,1.4878285037715469e-05,0.0003200986033260756,,,BRbrULdowndown
0.88,5.4635013908987956e-05,0.001168194902860111,,,BRbrULobs
0.88,-36.8699,-36.6693,,,Significance
0.88,0.0,0.0,0.0,0.0,posSignificance
0.885,2.6330572372274146,56.049281419468976,,,xsecBRbrUL
0.885,2.025,2.124,,,nevtUL
0.885,4.05,4.275,,,nevtULup
0.885,0.9990000000000001,1.05,,,nevtULdown
0.885,6.111000000000001,6.441,,,nevtULupup
0.885,0.603,0.5820000000000001,,,nevtULdowndown
0.885,2.0069999999999997,2.1180000000000003,,,nevtULobs
0.885,5.416620697145721e-05,0.0011530235404853045,,,BRbrUL
0.885,0.00010833241394291442,0.0023207041598750826,,,BRbrULup
0.885,2.6721995439252224e-05,0.0005699975129517747,,,BRbrULdown
0.885,0.0001634615757049753,0.0034965276008784587,,,BRbrULupup
0.885,1.61294927426117e-05,0.0003159414786075552,,,BRbrULdowndown
0.885,5.368472957615537e-05,0.0011497664118398654,,,BRbrULobs
0.885,-37.0453,-36.959,,,Significance
0.885,0.0,0.0,0.0,0.0,posSignificance
0.89,2.599300093160396,54.93994735110234,,,xsecBRbrUL
0.89,2.025,2.1090000000000004,,,nevtUL
0.89,4.05,4.245,,,nevtULup
0.89,1.026,1.0560000000000005,,,nevtULdown
0.89,6.111000000000001,6.396000000000001,,,nevtULupup
0.89,0.5670000000000001,0.5760000000000001,,,nevtULdowndown
0.89,2.0069999999999997,2.1120000000000005,,,nevtULobs
0.89,5.347176842054109e-05,0.001130202760937455,,,BRbrUL
0.89,0.00010694353684108218,0.0022748746895113773,,,BRbrULup
0.89,2.7092362666407485e-05,0.0005659052231151981,,,BRbrULdown
0.89,0.00016136591447798846,0.003427585044550005,,,BRbrULupup
0.89,1.4972095157751504e-05,0.00030867557624465335,,,BRbrULdowndown
0.89,5.299646381235851e-05,0.0011318104462303962,,,BRbrULobs
0.89,-37.0207,-37.0077,,,Significance
0.89,0.0,0.0,0.0,0.0,posSignificance
0.895,2.5093665034392347,54.244504979569385,,,xsecBRbrUL
0.895,1.98,2.109,,,nevtUL
0.895,3.96,4.244999999999999,,,nevtULup
0.895,1.026,1.0559999999999998,,,nevtULdown
0.895,5.985,6.395999999999999,,,nevtULupup
0.895,0.585,0.5759999999999998,,,nevtULdowndown
0.895,1.9980000000000002,2.103,,,nevtULobs
0.895,5.1621690357045583e-05,0.0011158963968749553,,,BRbrUL
0.895,0.00010324338071409117,0.002246078807365664,,,BRbrULup
0.895,2.674942136683271e-05,0.0005587418658605749,,,BRbrULdown
0.895,0.00015603829130652412,0.003384197892087346,,,BRbrULupup
0.895,1.5251863060036194e-05,0.0003047682904694045,,,BRbrULdowndown
0.895,5.209097845120053e-05,0.0011127217271825656,,,BRbrULobs
0.895,-36.9938,-36.99,,,Significance
0.895,0.0,0.0,0.0,0.0,posSignificance
0.9,1.98,2.0940000000000003,,,nevtUL
0.9,2.477999422146245,53.18546396841065,,,xsecBRbrUL
0.9,3.96,4.215000000000002,,,nevtULup
0.9,1.026,1.041,,,nevtULdown
0.9,5.985,6.354,,,nevtULupup
0.9,0.585,0.5820000000000001,,,nevtULdowndown
0.9,1.989,2.0970000000000004,,,nevtULobs
0.9,5.097641922758251e-05,0.0010941102261109315,,,BRbrUL
0.9,0.00010195283845516504,0.00220232789066742,,,BRbrULup
0.9,2.6415053599747305e-05,0.000543920126734231,,,BRbrULdown
0.9,0.00015408781266519262,0.003319950514187611,,,BRbrULupup
0.9,1.5061214771785744e-05,0.00030409367315977176,,,BRbrULdowndown
0.9,5.1208130224071525e-05,0.001095677719271549,,,BRbrULobs
0.9,-36.964,-36.9057,,,Significance
0.9,0.0,0.0,0.0,0.0,posSignificance
0.905,2.447406836687649,52.52885330213398,,,xsecBRbrUL
0.905,1.98,2.094,,,nevtUL
0.905,3.96,4.215,,,nevtULup
0.905,1.026,1.041,,,nevtULdown
0.905,5.985,6.353999999999999,,,nevtULupup
0.905,0.585,0.5820000000000001,,,nevtULdowndown
0.905,1.989,2.091,,,nevtULobs
0.905,5.03470807186e-05,0.0010806026924552409,,,BRbrUL
0.905,0.0001006941614372,0.002175138657449303,,,BRbrULup
0.905,2.6088941826910916e-05,0.0005372050634412157,,,BRbrULdown
0.905,0.00015218549399031368,0.0032789634708025785,,,BRbrULupup
0.905,1.4875273848677273e-05,0.00030033943028125605,,,BRbrULdowndown
0.905,5.057593108550274e-05,0.0010790545510620383,,,BRbrULobs
0.905,-36.9307,-36.861,,,Significance
0.905,0.0,0.0,0.0,0.0,posSignificance
0.91,2.4175604118499945,51.516565140972226,,,xsecBRbrUL
0.91,1.98,2.079,,,nevtUL
0.91,3.96,4.1850000000000005,,,nevtULup
0.91,1.026,1.0470000000000002,,,nevtULdown
0.91,5.985,6.309,,,nevtULupup
0.91,0.585,0.5760000000000001,,,nevtULdowndown
0.91,1.98,2.0850000000000004,,,nevtULobs
0.91,4.9733091929348777e-05,0.0010597783027393606,,,BRbrUL
0.91,9.946618385869755e-05,0.002133319960059752,,,BRbrULup
0.91,2.577078399975346e-05,0.0005337123054199666,,,BRbrULdown
0.91,0.0001503295733318952,0.0032160371871008298,,,BRbrULupup
0.91,1.4693868070034867e-05,0.0002936182310619873,,,BRbrULdowndown
0.91,4.9733091929348777e-05,0.0010628368259795898,,,BRbrULobs
0.91,-37.5045,-36.7279,,,Significance
0.91,0.0,0.0,0.0,0.0,posSignificance
0.915,2.3884331779722845,50.89588363324968,,,xsecBRbrUL
0.915,1.98,2.079,,,nevtUL
0.915,3.96,4.1850000000000005,,,nevtULup
0.915,1.026,1.047,,,nevtULdown
0.915,5.985,6.308999999999998,,,nevtULupup
0.915,0.585,0.5760000000000001,,,nevtULdowndown
0.915,1.971,2.079,,,nevtULobs
0.915,4.913389805068194e-05,0.0010470098894533439,,,BRbrUL
0.915,9.826779610136388e-05,0.00210761730993855,,,BRbrULup
0.915,2.5460292626262462e-05,0.0005272820366799669,,,BRbrULdown
0.915,0.00014851837365319767,0.0031772897511116627,,,BRbrULupup
0.915,1.4516833514974207e-05,0.0002900806620130477,,,BRbrULdowndown
0.915,4.8910562150451566e-05,0.0010470098894533439,,,BRbrULobs
0.915,-37.4938,-36.7036,,,Significance
0.915,0.0,0.0,0.0,0.0,posSignificance
1.13,0.9938471636021672,19.90786609309497,,,xsecBRbrUL
1.13,1.89,1.9769999999999999,,,nevtUL
1.13,3.7260000000000004,3.885,,,nevtULup
1.13,1.0170000000000001,1.011,,,nevtULdown
1.13,5.715,5.997000000000001,,,nevtULupup
1.13,0.5579999999999999,0.573,,,nevtULdowndown
1.13,1.9169999999999998,1.971,,,nevtULobs
1.13,2.044502884348852e-05,0.00040953670885412005,,,BRbrUL
1.13,4.0305914005734496e-05,0.0008047800272626487,,,BRbrULup
1.13,1.1001372663400962e-05,0.00020942924261583984,,,BRbrULdown
1.13,6.182187293150099e-05,0.0012422820652494473,,,BRbrULupup
1.13,6.0361513728394665e-06,0.00011869728587425936,,,BRbrULdowndown
1.13,2.073710068410978e-05,0.000408293805337112,,,BRbrULobs
1.13,-33.5677,-29.6504,,,Significance
1.13,0.0,0.0,0.0,0.0,posSignificance
1.14,0.9588284308804158,19.018855875459156,,,xsecBRbrUL
1.14,1.8900000000000003,1.962,,,nevtUL
