mass,ctau = 0.1,ctau = 0.2,ctau = 0.5,ctau = 1,ctau = 0.8,ctau = 2,ctau = 5,ctau = 8,ctau = 10,ctau = 20,ctau = 50,ctau = 80,ctau = 100,what
0.308,62.01774124837677,87.19724518741468,88.82861525225111,75.21231428734937,79.84549689851741,60.66987963301114,57.16977524838256,56.07820593371829,55.79669483660365,50.747306716670465,50.45361390351089,50.40819656282529,50.45957319571136,nevtULdown
0.308,343.20314517687933,482.5255972082029,489.1466955757254,410.1451037397112,433.6346492593137,352.4052780047368,303.19766960124105,297.40749254223687,295.9214355143103,290.78950616278746,289.1066032931032,288.84457705914645,289.1372080837217,nevtULupup
0.308,39.70500243236168,55.8202661796909,57.22171508197276,49.02881930275952,51.27783263744092,39.861838175247975,37.8034014620925,37.083781542530474,36.896171207063546,31.771213688808533,31.587342312582464,31.55901562196332,31.591287620168156,nevtULdowndown
0.308,143.64555154068796,211.17633163065918,208.87725429922642,186.0017898011827,193.76524405111252,147.00570923532547,135.7954540863128,131.7532154480578,130.53286492088054,127.2760496472025,125.7761339831622,125.39740239272486,125.27082521810604,nevtULobs
0.308,4.5491706207990323e-08,2.1481927370081288e-08,9.08998809010892e-09,5.92570883090145e-09,6.4754433209862595e-09,8.422422611326233e-09,1.1842129790530596e-08,1.7014349847402414e-08,2.0403817884621642e-08,5.3406797245734635e-08,1.2680712882212453e-07,2.0039161133816872e-07,2.4977889104005487e-07,BRbrUL
0.308,9.182250256069789e-08,4.3360496579913734e-08,1.834713319109738e-08,1.196084575154688e-08,1.3070522488687251e-08,1.6999690786137407e-08,2.3902734617610143e-08,3.4342352273446916e-08,4.118369382810138e-08,1.0779899666974122e-07,2.559539602178145e-07,4.044688146333461e-07,5.041604354025151e-07,BRbrULup
0.308,2.498101564466442e-08,1.179705300069711e-08,5.016234554448906e-09,3.302200007833681e-09,3.6233737329233906e-09,4.406238312837182e-09,6.785535744281075e-09,9.749280816529704e-09,1.169107374299767e-08,2.8323226399840607e-08,6.724962371769315e-08,1.0627205186847707e-07,1.3246528932754333e-07,BRbrULdown
0.308,1.382437181100345e-07,6.528165003634522e-08,2.7622569028838617e-08,1.8007439042598718e-08,1.967825937395875e-08,2.5593946237955358e-08,3.598682373200603e-08,5.170474185927612e-08,6.200437740735037e-08,1.6229623896554337e-07,3.85350201532514e-07,6.089506859643437e-07,7.590362244170453e-07,BRbrULupup
0.308,1.5993347499740275e-08,7.552011961151708e-09,3.2313634929904833e-09,2.1526124946387997e-09,2.326978465622088e-09,2.895024016041156e-09,4.4869221675607945e-09,6.447071442055289e-09,7.730849644037875e-09,1.7732237167381217e-08,4.210276966136849e-08,6.65336507509323e-08,8.293270810286759e-08,BRbrULdowndown
0.308,5.7861052306839645e-08,2.8570379389683323e-08,1.1795492901457086e-08,8.166416863492985e-09,8.793030576797975e-09,1.0676503598765182e-08,1.6117693372244356e-08,2.2905495539605355e-08,2.735053311210897e-08,7.103565888849172e-08,1.6764701333803212e-07,2.6436651497029936e-07,3.288580353713114e-07,BRbrULobs
0.308,0.0203231,0.335874,0.330826,0.0680438,0.15215399999999998,-0.141774,-0.13960899999999998,-0.137053,-0.136072,-0.31900700000000004,-0.32838,-0.33071300000000003,-0.331489,Significance
0.308,0.0204459,0.335873,0.330842,0.0679057,0.152152,0.00209978,0.0020439,0.00166846,0.00204653,0.00330269,0.00221488,0.00213986,0.00322021,posSignificance
0.31,5914.698238510631,2810.3062063292687,1351.8202307376682,1030.1394505322687,1080.5962774224274,1435.2207907655209,2158.692647424462,3063.584582825169,3668.1200868728215,9371.971412944957,22190.20422544564,35032.18132050105,43475.26033688207,xsecBRbrUL
0.31,124.89370200743458,174.2554331193607,196.81748591594302,190.5041721320929,194.01202540350627,162.3590297365504,148.96778384545823,144.23845096616301,143.2725056047714,144.78234815969142,143.5841954533034,143.32669580589246,142.84773681128928,nevtUL
0.31,252.09559338750762,349.29332934485734,393.7339429105181,384.5175369305149,391.6052021895649,306.68016649245124,284.34834348411374,276.47626281194124,273.4829169250285,292.23090579455624,289.81816034280104,289.29279482122496,288.32605666142564,nevtULup
0.31,69.60493244337825,96.1620175954686,105.99802521489029,102.07251694060378,103.96136450756477,90.00953579620918,82.20690374018807,79.59864479499963,79.0647757964924,75.98697004243931,75.35932380826222,75.22299146904079,74.97161660713894,nevtULdown
0.31,379.5399793709318,529.5296586203148,598.0912255440641,578.9088147853106,589.585287290824,493.33862213460486,452.6566355727505,438.29007536699936,435.3581941100397,439.9693987647257,436.33464834839117,435.545914140723,434.0904376716159,nevtULupup
0.31,45.37343467147702,61.94049898802771,67.66022830116077,64.74010572881204,65.93637520438243,57.71226108272682,52.95179919253107,51.27246089720832,50.929881729664004,46.939634078611725,46.55386167697461,46.46769955274239,46.31241708750335,nevtULdowndown
0.31,191.38212973367058,218.54104616089523,212.382937373524,208.96792431493137,211.93577805185916,174.19836497970996,161.8744476164834,157.38400620642463,156.0379384223973,150.96364994742513,149.7759125870367,149.472481081685,149.37700906241847,nevtULobs
0.31,4.4471415327147614e-08,2.1130121852099763e-08,1.0164061885245626e-08,7.745409402498261e-09,8.124784040770132e-09,1.0791133765154294e-08,1.6230771785146333e-08,2.3034470547557663e-08,2.7579850277239258e-08,7.046595047327035e-08,1.6684364079282432e-07,2.6339985955263945e-07,3.268816566682863e-07,BRbrUL
0.31,8.976471715933452e-08,4.2355124767483786e-08,2.033323484161069e-08,1.5633493548382802e-08,1.6399538587440758e-08,2.0383385544430915e-08,3.098114875202098e-08,4.4152473145558535e-08,5.264525716456623e-08,1.4222955212582464e-07,3.3676629162989807e-07,5.316503048999226e-07,6.597829350746318e-07,BRbrULup
0.31,2.4784515229785263e-08,1.1660555501556163e-08,5.473957168917885e-09,4.150005869164004e-09,4.3536663949104015e-09,5.982451006835968e-09,8.956845965800846e-09,1.271167727380855e-08,1.5219910264472473e-08,3.698305860959326e-08,8.756690743129115e-08,1.382416951473471e-07,1.7155921953468712e-07,BRbrULdown
0.31,1.3514436504458007e-07,6.421048693089432e-08,3.088666741759167e-08,2.3536942666632015e-08,2.4690495977713704e-08,3.2789571800286254e-08,4.9319163911543005e-08,6.999367897188768e-08,8.380612707121027e-08,2.141342660702966e-07,5.070172319778626e-07,8.00428224262991e-07,9.93338813602717e-07,BRbrULupup
0.31,1.615630592785486e-08,7.510872216537345e-09,3.4941140743792974e-09,2.6321660991391933e-09,2.7612659980875397e-09,3.835824408680933e-09,5.7693586231938205e-09,8.188066237030004e-09,9.80396417869904e-09,2.2845643631699024e-08,5.409520003667843e-08,8.539641179269687e-08,1.0597773517318568e-07,BRbrULdowndown
0.31,6.814622387503152e-08,2.6500171916602434e-08,1.0967893979484482e-08,8.496098052315304e-09,8.875390190905282e-09,1.1578030869101933e-08,1.7637016201002374e-08,2.51337783464478e-08,3.0037186556437767e-08,7.347440634631885e-08,1.7403836459992563e-07,2.746943289421855e-07,3.418227357356216e-07,BRbrULobs
