,mass,eps,ctau,BRbrUL,BRbrULobs,BRbrULup,BRbrULupup,BRbrULdown,BRbrULdowndown
567,1.14,1.5396057915859747e-05,0.1,0.000332221762522,0.0003547995149235,0.000636824138611,0.0010073184794758,0.0001734322106805,9.864066583194872e-05
568,1.14,1.0886656955845251e-05,0.2,0.0001868024908624,0.0002008632178438,0.000358095939518,0.0005664421193605,9.755006508777356e-05,5.545840384513696e-05
569,1.14,6.885326417077226e-06,0.5,0.000121448781535,0.0001204251929844,0.0002201994869594,0.0003681592119564,6.727535749173475e-05,3.8896364924852335e-05
570,1.14,5.4433284779226255e-06,0.8,0.0001043430557923,9.926676347027e-05,0.0001850321840107,0.0003100524933451,6.046369127037865e-05,3.7500777310990886e-05
571,1.14,4.868661000198182e-06,1.0,9.904417575621788e-05,9.245990947539436e-05,0.0001740767932032,0.0002932380038089,5.7913525116860645e-05,3.636756439365512e-05
572,1.14,3.442663208538613e-06,2.0,0.0001038051805868,9.41935897917784e-05,0.0001824317625418,0.0003104355364246,6.230572385986782e-05,4.0557143903942986e-05
573,1.14,2.1773313911690504e-06,5.0,0.0001702103754705,0.0001513437382216,0.000299105781101,0.0005158781960214,0.0001030935111582,6.914725211785548e-05
574,1.14,1.7213316042693065e-06,8.0,0.000239629698797,0.0002118693933014,0.0004211341159637,0.0007262918445234,0.0001451418441655,9.736670112736172e-05
575,1.14,1.5396057915859746e-06,10.0,0.0002950017365856,0.0002611203490173,0.0005207802933982,0.0008941431701971,0.0001794628669101,0.0001210049556008
576,1.14,1.0886656955845252e-06,20.0,0.0005594428926595,0.0004942734150687,0.0009965076525498,0.0016956551738172,0.000338881283472,0.0002272736751429
577,1.14,6.885326417077227e-07,50.0,0.0013379172336903,0.0011809580308632,0.0023939101438375,0.0040555322082983,0.0008139670890013,0.0005487926084457
578,1.14,5.443328477922626e-07,80.0,0.0021211507842889,0.0018684268126624,0.0037953352055359,0.0064296916937181,0.0012806272564591,0.0008700626933445
579,1.14,4.868661000198181e-07,100.0,0.0026603396876217,0.0023473366549846,0.0047601769172751,0.0080640151107583,0.0016182368441213,0.0010912305489797
580,1.14,3.4426632085386135e-07,200.0,0.0046019197829309,0.0039299838236282,0.0084542231488363,0.013951410207023,0.0027421201576164,0.0018339061394068
581,1.14,2.1773313911690504e-07,500.0,0.0114291434846594,0.0097591022081986,0.0209964166273187,0.0346469084507455,0.0068091258221723,0.0045539252953685
582,1.14,1.7213316042693067e-07,800.0,0.0182657547313264,0.0155864338680571,0.0335559175423874,0.0553717724175457,0.0108821647369707,0.0072779629218613
583,1.14,1.5396057915859746e-07,1000.0,0.0227574922331309,0.0194710142175684,0.0418100518551821,0.06899028727478,0.0135611477762631,0.0090675891967085
584,1.14,1.0886656955845252e-07,2000.0,0.1496210872448279,0.1450922248390916,0.3011031033239277,0.4537715368151685,0.0825674249769195,0.0531840211503411
585,1.14,6.885326417077228e-08,5000.0,0.3737864694246901,0.3624777864158539,0.7522223973808645,1.133627979495858,0.2062709780113057,0.1328695262271619
